fecha_hora,sector,ubicacion,colonia,observaciones,clasificacion,causa,lesionados,fallecidos,vehiculos_cantidad
2015-07-04 17:49:00,"ORIENTE 1","CALZ. XOCHIMILCO Y CALZ MOCTEZUMA","LAS CAROLINAS",,"CHOQUE","CORTE CIRCULACION",0,0,2
2015-07-04 18:04:00,"SUR 2","PASEO DEL TECNOLOGICO Y CALLE ARQUITECTOS","MAYRAN","RESPONSABLE SE DIO A LA HUIDA EL RESPONSABLE, SE TRASLADO A LA ACOMPAÑANTE DEL CONDUCTOR DE LA MOTO A LA CRUZ ROJA","CHOQUE","CORTE CIRCULACION",1,0,2
2015-07-04 18:46:00,"SUR 2","AV. DE LOS METALES Y CALLE ROMULO HERNANDEZ","RESIDENCIAL DEL NORTE",,"ATROPELLADO CICLISTA","CORTE CIRCULACION",1,0,2
2015-07-04 19:21:00,"SUR 2","BLVD. DIAGONAL DE LAS FUENTES Y BLVD. RODRIGUEZ TRIANA","OBISPADO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-04 21:37:00,"ORIENTE 2","BLVD. INDEPENDENCIA FTE AGENCIA BMW","MAGDALENAS","MOTOCICLISTA DERRAPO","CAIDA DE PERSONAS","PERDIDA CONTROL",1,0,1
2015-07-04 21:50:00,"CENTRO 3ER CUADRO","AV. VICTORIA Y CALLE LA OPINION","CENTRO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-04 22:10:00,"CENTRO 1ER CUADRO","AV. MATAMOROS Y MUZQUIZ","CENTRO","RESPONSABLE SE DIO A LA HUIDA","CHOQUE","NO RESPETAR SEÑAL ALTO",1,0,2
2015-07-04 22:23:00,"CENTRO 2DO CUADRO","CALLE FRANCISCO I MADERO Y AV. ABASOLO","CENTRO",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-04 23:40:00,"ORIENTE 2","TORREON MATAMOROS FTE AL 33 BATALLON","OSCAR FLORES TAPIA",,"CHOQUE","NO RESPETAR DISTANCIA",0,0,2
2015-07-05 02:24:00,"CENTRO 3ER CUADRO","AV. HIDALGO Y CALLE 32","CENTRO",,"CHOQUE","NO RESPETAR SEÑAL ALTO",0,0,2
